,blockNumber,erc20CoinTotalSupply,globalDebt,timestamp,hourlyredemptionPriceActual,hourlyredemptionRateActual,hourlymarketPriceEth,hourlymarketPriceUsd,activeLiquidations,currentFsmUpdate,debtCeiling,liquidationsStarted,totalAnnualizedStabilityFee,totalCollateral,Eth_price,coinAddress,coinUniswapPair,currentCoinMedianizerUpdate,debtAvailableToSettle,globalDebtCeiling,systemSurplus,totalActiveSafeCount,wethAddress,RedemptionRateAnnualizedRate,RedemptionRateHourlyRate,RedemptionRateEightHourlyRate,RedemptionPrice,RAIInUniswapV2(RAI/ETH)
24,11870961,9654.515018562104,10603.096086573727,1613520522,3.13999881022655,0.999999961884182,0.0024830454901359476,4.426227229806537,0,{'value': '1747.76'},10000000,1,1.019999999999999999972831879,53.68335639850126996,1747.76,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '1023.422981447018224969', 'reserve1': '2.541205818583504251'}",{'value': '5.257544310613333265'},846.1745167717419600463715557405962,115792089237316195423570985008687.9,101.9206100615458255061762292734445,10,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.9996661611653415,0.999999961884182,0.9999996950734974,3.13999881022655,1023.4229814470182
25,11871228,9784.515018562104,10733.107239915416,1613524115,3.1399985705268545,0.999999961884182,0.0026338433356151393,4.659213469371189,0,{'value': '1782.58'},10000000,1,1.019999999999999999972831879,1390.68335639850126996,1782.58,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '994.068295224487992111', 'reserve1': '2.618220154523320573'}",{'value': '5.257544310613333265'},846.1745167717419600463715557405962,115792089237316195423570985008687.9,101.9317634032353345167961942072056,11,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.9996661611653415,0.999999961884182,0.9999996950734974,3.1399985705268545,994.068295224488
26,11871495,209784.51501856212,210733.36333607114,1613527832,3.1399984515746406,0.999999961884182,0.002207183936943583,3.893862855041799,0,{'value': '1782.58'},10000000,1,1.019999999999999999972831879,1391.01335639850126996,1782.58,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '184823.490756279980437617', 'reserve1': '407.939439967102032833'}",{'value': '5.257544310613333265'},846.1745167717419600463715557405962,115792089237316195423570985008687.9,102.1767062172820559207276336644514,12,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.9996661611653415,0.999999961884182,0.9999996950734974,3.1399984515746406,184823.49075628
27,11871769,264184.5150185621,265133.66264160926,1613531491,3.139998331957522,0.999999961884182,0.001609872158835989,2.8504551345766185,0,{'value': '1771.34'},10000000,1,1.019999999999999999972831879,1608.43635639850126996,1771.34,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '213059.908903084084990775', 'reserve1': '342.999215507207133085'}",{'value': '4.544781907452408482'},846.1745167717419600463715557405962,115792089237316195423570985008687.9,102.3934287819577856675759537060972,19,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.9997785182554391,0.9999999747138958,0.9999997977111846,3.1399983251089605,213059.90890308408
28,11872047,269184.5150185621,270134.5838166173,1613534905,3.139998250253984,0.9999999747138958,0.0019369616085485664,3.3962523288908466,0,{'value': '1777.67'},10000000,1,1.019999999999999999972831879,1696.93635639850126996,1777.67,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '218923.09626293345772484', 'reserve1': '424.04563268588423784'}",{'value': '4.544781907452408482'},846.1745167717419600463715557405962,115792089237316195423570985008687.9,102.739088784972266227467364218524,22,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.9997785182554391,0.9999999747138958,0.9999997977111846,3.139998250253984,218923.09626293345
29,11872943,280443.04645579687,281396.39510656206,1613546764,3.1399980097652924,0.9999999747138958,0.00186620342345815,3.351125855008217,0,{'value': '1741.03'},10000000,1,1.019999999999999999972831879,1763.13635639850126996,1741.03,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '234174.347748914850621914', 'reserve1': '437.016969455104179566'}",{'value': '4.036435860674912652'},846.1745167717419600463715557405962,115792089237316195423570985008687.9,102.9354828924784704237721628670805,22,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.9998586596657639,0.9999999838641185,0.9999998709129547,3.1399979882615816,234174.34774891485
30,11873560,280443.04645579687,281398.96533332684,1613554511,3.139997902043857,0.9999999838641185,0.0018784176372665861,3.406886294158092,0,{'value': '1795.69162337'},10000000,1,1.019999999999999999972831879,1763.80635639850126996,1795.69162337,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '233494.218353875301352988', 'reserve1': '438.699502291171959733'}",{'value': '4.036435860674912652'},846.1745167717419600463715557405962,115792089237316195423570985008687.9,104.4658622184392747776486219206563,22,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.9998586596657639,0.9999999838641185,0.9999998709129547,3.139997902043857,233494.2183538753
31,11873687,280943.0304909943,281899.6347488462,1613556146,3.139997902043857,0.9999999838641185,0.0018145544732714781,3.2992768346264896,0,{'value': '1795.69162337'},10000000,1,1.019999999999999999972831879,1760.80735639850126996,1795.69162337,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '237906.072003561094439999', 'reserve1': '431.693527172508150013'}",{'value': '4.036435860674912652'},846.1745167717419600463715557405962,115792089237316195423570985008687.9,104.6101378236136439104812250208691,22,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.9998586596657639,0.9999999838641185,0.9999998709129547,3.139997902043857,237906.0720035611
32,11874166,285943.0304909943,286899.1289106504,1613562053,3.1399978001898488,0.9999999838641185,0.0017194596142441352,3.1118873915745833,0,{'value': '1813.70012002'},10000000,1,1.019999999999999999972831879,1780.80735639850126996,1813.70012002,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '244406.072003561094439999', 'reserve1': '420.246370286167503454'}",{'value': '3.859224199447107439'},846.1745167717419600463715557405962,115792089237316195423570985008687.9,104.8021525590901542147446664331863,22,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.9998586596657639,0.9999999838641185,0.9999998709129547,3.1399978001898488,244406.0720035611
33,11874355,285943.0304909943,286900.7426117338,1613564775,3.1399977546837063,0.9999999870539245,0.0017194596142441352,3.131464291584494,0,{'value': '1818.22969948'},10000000,1,1.019999999999999999972831879,1784.30735639850126996,1818.22969948,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '244406.072003561094439999', 'reserve1': '420.246370286167503454'}",{'value': '3.859224199447107439'},846.1745167717419600463715557405962,115792089237316195423570985008687.9,105.3817103705648117043775418466641,23,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.999886598807461,0.9999999870539245,0.9999998964314,3.1399977546837063,244406.0720035611
