date,CDP opened,Mean of CDP values (in ETH),Median of CDP values (in ETH),ETH Price,DAI Price,Collateralization Ratio,DAI Transaction Volume,ETH Transaction Volume,DAI Velocity,ETH Velocity,DAI NVT based on trx volume,ETH NVT based on trx volume,DAI ClosePrice,DAI HighPrice,DAI LowPrice,DAI OpenPrice,ETH ClosePrice,ETH HighPrice,ETH LowPrice,ETH OpenPrice,Amount of Bites,"Volume of Bites, DAI",DAI Exchange Flow,ETH Exchange Flow,Stability Fee
2018-01-14,4,315.900115966797,13.8004999160767,1347.82972222222,1.00569534527985,4.72159911705115,9590141.32212057,25146292.01783,31.4912071191061,16.5444019297252,30.4194389938617,63.9321189498037,0.997733,1.04122,0.987981,1.01834,1366.77,1400.56,1286.21,1397.48,0,0,1.00678131944444,1347.82972222222,0.5
2018-01-15,4,312.903045654297,15.499885559082,1333.32190972222,1.0031531007786,4.65807156059014,7933707.85674796,12330846.960263,24.5278555565247,7.03508846321728,28.6661908810773,55.451189789275,0.996509,1.00962,0.990487,0.998339,1291.92,1390.59,1290.6,1365.21,1,10.2556005546478,0.999784802083333,1333.32190972222,0.5
2018-01-16,8,308.772583007813,16.9988594055176,1130.35003819444,0.989107723588112,3.86054272937717,26675334.4493706,15707168.8574372,20.8513370433275,9.49920428097303,6.95985651849585,58.7918264121044,0.99547,1.04393,0.924228,0.997144,1053.69,1292.63,875.545,1292.63,8,152652.803259336,0.990905482638889,1130.35003819444,0.5
2018-01-17,21,304.701629638672,16.9988594055176,944.04853125,0.987702244759907,3.69401281345765,23604756.0894743,16657122.6681979,19.3549663509665,8.77284183754372,7.36598433120294,51.2107546134774,0.992339,1.03193,0.945498,0.975613,1014.25,1090.23,780.922,1061.34,5,38353.769271839,0.986623298611111,944.04853125,0.5
2018-01-18,9,290.277221679687,16.0900001525879,1040.51566666667,0.998775101094496,3.99278943496093,11721500.6304536,14629524.1243392,10.9264612764622,9.69717873281245,8.80795036035639,64.465588987834,1.00134,1.01263,0.975833,0.998447,1036.28,1100.31,967.759,1016.44,0,0,0.995275697916667,1040.51566666667,0.5
2018-01-19,12,289.426696777344,15.6009998321533,1049.42559027778,0.996300547284918,4.04332510053207,9033090.63283348,9560521.66038908,14.8372982155038,7.20682093995099,15.5032887565043,73.3275551473676,1.00224,1.01105,0.979406,0.996044,1039.1,1093.22,1003.71,1028.82,1,149.478278570549,0.997619694444445,1049.42559027778,0.5
2018-01-20,7,279.265319824219,15.1003704071045,1123.61947916667,1.0134207649666,4.12125889060481,7296644.86505046,8055040.23250608,10.5394333340072,7.16382131633926,13.8643015701629,86.5317008376164,0.998643,1.01624,0.995654,1.00345,1155.15,1167.11,1044.95,1044.95,0,0,1.00437465625,1123.61947916667,0.5
2018-01-21,7,270.216888427734,15.6009998321533,1083.893125,1.00790287920068,3.88900949820451,14284563.2276887,7645067.10248335,22.8381559575956,5.70862022621645,15.9843165378036,72.6675061971972,1.00313,1.01416,0.98267,1.00031,1049.58,1155.68,1021.5,1155.68,0,0,0.999952826388889,1083.893125,0.5
2018-01-22,9,268.945526123047,15.4008703231812,1026.39915625,1.00493256301772,3.82216253209856,16328112.0573056,9280460.05490745,18.42377086673,7.55644236477884,10.9215442726613,79.2556285126066,1.00381,1.01778,0.977448,1.00239,1003.26,1089.1,930.741,1055.35,2,5467.0204448742,1.00151931597222,1026.39915625,0.5
2018-01-23,9,271.822052001953,17.7556934356689,981.869295138889,0.996550762917249,3.78430843301282,9252892.9828941,9296863.36244972,8.02662661836584,7.23167534091786,8.49801081634188,75.7314474594806,0.998082,1.01407,0.989298,0.994534,986.229,1023.23,920.54,1004.17,0,0,1.00223722916667,981.869295138889,0.5
2018-01-24,8,263.463287353516,16.8641452789307,1012.92883680556,1.03089761178533,3.74496790265621,7419559.83264322,9179966.46373629,19.1638672897932,7.10894591337741,25.4507214672358,75.4105966452413,1.03601,1.07674,0.993776,0.998488,1058.78,1062.44,965.808,987.477,1,37312.2805497942,1.03778333680556,1012.92883680556,0.5
2018-01-25,10,255.792770385742,15.2947835922241,1068.49503472222,1.01368057802892,4.13440640814994,10169118.327128,4425206.87881156,30.4446581290475,3.68312602983213,28.0182726176461,81.06660793971,1.02059,1.04042,1.01428,1.03821,1056.03,1104.66,1034.74,1063.22,0,0,1.02898715277778,1068.49503472222,0.5
2018-01-26,7,252.71061706543,15.8454999923706,1046.49900347222,1.00272049764212,4.1003184506601,6418462.0392958,10428600.8951773,21.9632360592052,7.09492074964565,32.1642957900582,66.2783515062542,1.02629,1.03585,0.992301,1.0196,1055.17,1080.6,996.784,1052.7,0,0,1.01698396875,1046.49900347222,0.5
2018-01-27,11,249.311813354492,14.9133825302124,1079.09149305556,1.01109227965815,4.28358349000416,6044728.2350056,6624454.95901671,28.0046536910813,7.31121520702219,43.5926804702955,107.542640791089,1.05543,1.08337,1.01324,1.02654,1107.07,1121.98,1042.12,1055.75,0,0,1.04749454861111,1079.09149305556,0.5
2018-01-28,6,242.783157348633,13.2418270111084,1198.69864583333,1.04057908519489,4.60070405906814,9388882.04988621,7596399.16681184,14.3316343573649,5.99791334094688,14.4172943176453,76.952972808548,1.04631,1.08139,1.04207,1.05865,1246.01,1257.77,1111.78,1111.78,0,0,1.05846694444444,1198.69864583333,0.5
2018-01-29,16,244.501342773437,14.9942836761475,1199.2865625,1.022029999328,4.43939388190784,6432712.68130307,8376304.18845813,8.48753845371287,5.59301717797599,13.158310380939,65.0906265215064,1.01035,1.08462,0.997573,1.05004,1182.36,1256.7,1169.08,1246.7,1,4893.03317668038,1.04009128472222,1199.2865625,0.5
2018-01-30,11,231.01513671875,14.8381977081299,1140.93059027778,1.01613812572464,4.28533198063855,10963795.4919702,8881195.3392018,18.5646501273437,6.95982995332919,17.1469376867811,76.4086500361165,1.00703,1.04247,0.982476,1.01161,1071.13,1184.63,1058.97,1184.13,1,5848.77736186125,1.00854434722222,1140.93059027778,0.5
2018-01-31,13,221.014419555664,15,1095.19604166667,1.00993256280886,3.96751214254759,9398893.52563803,8696580.97306462,11.9532381506096,6.53878284953049,13.1750790541757,73.3255275585582,1.01042,1.0656,0.986835,1.00875,1118.31,1128.66,1034.5,1071.09,1,7.28936736602721,1.01397056597222,1095.19604166667,0.5
2018-02-01,7,216.629974365234,16.2700004577637,1098.87043055556,1.013529795975,3.9885018775581,10449268.6564494,8791973.08394163,20.7952639529161,6.46826922009912,20.9075557832612,71.7629984601228,1.01166,1.02797,0.982015,1.01176,1036.79,1161.35,984.819,1119.37,0,0,1.00647371527778,1098.87043055556,0.5
2018-02-02,16,221.532150268555,15.1893625259399,915.052763888888,1.01108029394008,3.38587174609744,16667594.5493718,11719669.6146552,16.6245010982432,7.5062358662958,10.3702784468542,62.4884462673694,1.00545,1.05277,0.937998,1.00786,915.785,1035.77,757.98,1035.77,22,180248.908196921,1.00936745486111,915.052763888888,0.5
2018-02-03,6,225.478973388672,15.3004999160767,934.882638888888,0.993001111957904,3.6754360116086,9330567.10914886,6575461.08653173,10.844055978848,6.54831812484076,12.5061959118016,97.1832587957227,1.00428,1.36678,0.992355,1.00879,964.019,991.943,847.69,919.211,0,0,1.02008413541667,934.882638888888,0.5
2018-02-04,14,231.391372680664,16.0900001525879,903.208263888889,1.00348269090101,3.31717513363392,12361327.7342718,5481071.73683436,6.48314120334115,5.46805834967705,5.81103600430922,97.3754098683597,1.00958,1.02093,0.978819,1.00525,834.682,969.032,805.064,964.667,0,0,1.00290480555556,903.208263888889,0.5
2018-02-05,20,252.789123535156,17.9679679870605,774.812927083333,1.02813527603152,3.26136950858325,22514278.5585368,7771265.27520753,11.3761169766982,6.24519350210134,5.45030283011042,78.4564152767881,0.997411,1.03716,0.968744,0.998428,697.951,856.646,644.599,834.958,15,159175.725591765,1.00373116666667,774.812927083333,0.5
2018-02-06,24,263.793212890625,21.9174709320068,680.478782918149,1.0254368547837,3.08787486775073,19889533.5899175,9373788.50523914,18.1047571590827,7.9651625611421,9.59847591213416,82.9785693274192,1.01631,1.19561,0.973992,0.989051,793.122,796.439,574.419,707.737,8,47409.4470795287,1.0101514341637,680.478782918149,0.5
2018-02-07,19,254.540802001953,20.5,796.188079861111,0.994086373989328,3.88539944159782,18155962.3283505,7320566.61829209,5.77680762590029,5.38452808512265,3.5514248667766,71.843953201427,1.00006,1.0334,0.975932,1.01334,757.068,851.2,723.433,790.428,0,0,1.00422651736111,796.188079861111,0.5
2018-02-08,24,239.485809326172,19.9955425262451,812.474378472223,1.01187658227972,3.73891264379376,11748606.1364758,3834826.62358857,19.0588919901737,5.03452320710989,18.2599979047733,128.259905813414,1.01218,1.02277,0.987647,0.998079,817.807,845.086,755.843,755.843,0,0,1.00571989583333,812.474378472223,0.5
2018-02-09,14,263.767028808594,20.0370121002197,833.253072916667,1.00173129743859,3.64706933766014,12519467.60076,5376754.29842886,4.04982706513769,6.79475550095519,4.48659567954942,123.487438815681,1.00496,1.01675,0.989774,1.01339,883.865,884.004,788.834,818.48,1,192.712341171576,1.00378406944444,833.253072916667,0.5
2018-02-10,19,257.635803222656,19.9955425262451,875.1529375,1.00513807736772,3.75092844053322,13218828.3451101,5951315.79286901,11.3634473927578,6.83272640593146,12.0985927669061,112.212758088586,1.0076,1.01145,0.986329,1.00523,860.415,917.4,825.577,882.467,0,0,1.00098560763889,875.1529375,0.5
2018-02-11,21,246.350921630859,19.965015411377,827.145895833334,1.00980473739603,3.55892213468876,10953295.1170493,4228401.07395755,10.1444697584205,4.65953234393261,13.2740215999829,107.725142575588,0.996921,1.01326,0.991033,1.00612,814.66,859.288,788.222,859.288,0,0,1.00105062152778,827.145895833334,0.5
2018-02-12,18,237.952026367187,19.9955425262451,857.86078125,1.00295607966868,3.68767043602239,7825984.2125398,4887239.23574814,9.06814438055152,4.35346669420661,16.8308738946224,87.0991606224603,1.00086,1.01468,0.992848,0.997123,868.707,875.937,817.508,817.508,0,0,1.00349149305556,857.86078125,0.5
2018-02-13,17,233.560424804687,19.9955425262451,847.16925,1.00292950844356,3.65598097400082,7364785.43858179,6606559.48378132,14.5770224947688,5.46911577750645,29.1443099669017,80.9608551896186,1.00703,1.01202,0.991121,1.00246,845.258,870.709,828.837,869.293,0,0,1.00140077777778,847.16925,0.5
2018-02-14,19,229.065612792969,20.3906383514404,884.5591875,1.00414591531222,3.77128695210296,8379357.3102439,5170415.56881853,9.6699093183093,6.15749965707001,17.5296769792728,116.493490918983,1.00635,1.01422,0.985791,1.00115,923.561,926.429,844.279,844.279,0,0,1.00306721527778,884.5591875,0.5
2018-02-15,14,246.589447021484,19.9977722167969,932.462128472222,1.00755894048731,3.83414728639668,7792225.86335472,5747974.47306464,2.51757946233501,6.30333269596806,5.6179334783813,107.29257915721,1.00324,1.00948,0.989801,1.00579,936.976,951.948,911.111,923.728,0,0,1.00100568055556,932.462128472222,0.5
2018-02-16,4,243.973068237305,20.0370121002197,936.077982638889,1.0063517000171,3.84795111116848,5744627.09771162,4534574.87064195,9.83157567500597,8.19148180370744,29.8145699517965,176.779147102614,1.00312,1.00641,0.994896,1.0019,944.21,950.005,917.848,934.786,1,704.548256567254,1.00044619791667,936.077982638889,0.5
2018-02-17,11,237.603775024414,19.9955425262451,965.549993055556,1.00847592735876,3.8846086982467,5940451.07583341,4337496.88520137,6.71424119038482,8.04888309155199,19.7337157667398,181.632261461875,0.99468,1.00908,0.991292,1.0032,974.115,976.595,940.754,944.748,0,0,0.999401857638889,965.549993055556,0.5
2018-02-18,12,233.499603271484,19.7999992370605,946.064885416665,1.00407098432038,3.79134539221795,8564714.80603891,4324680.26266483,14.531435817879,5.46457646806869,29.975463275855,123.705602082771,1.00499,1.0084,0.986054,0.994027,923.921,982.933,915.445,973.349,0,0,0.999748555555555,946.064885416665,0.5
2018-02-19,14,231.388687133789,18.0900001525879,942.769437500001,1.01016600626633,3.73412512211639,4952061.57747137,3973691.11048323,10.8143341633086,4.87078231162178,38.6208864318159,120.027919286076,1.00236,1.00476,0.993527,1.00023,943.865,957.777,921.554,921.668,1,14.0274305203959,0.999933041666666,942.769437500001,0.5
2018-02-20,13,229.478591918945,17.9478054046631,943.040979166667,1.00792902193315,3.7192564920725,5565206.3388107,4709610.63157253,10.1613768408149,6.28473587261846,32.4085464386425,130.699258474899,1.00182,1.00883,0.994397,1.00285,895.371,965.265,892.954,943.567,3,21277.650699674,1.00044105902778,943.040979166667,0.5
2018-02-21,8,223.157989501953,17.9478054046631,875.39787062937,1.00683666955234,3.32239851918988,10836006.3889347,4633961.91029191,5.89800334034603,6.22746812583562,9.78632871467698,131.65051875547,0.999408,1.00953,0.986392,1.0059,849.971,912.375,830.563,894.135,3,1264.96992673294,1.00037320629371,875.39787062937,0.5
2018-02-22,10,222.316497802734,19.9580001831055,835.372388111888,1.01595115073489,3.37957277477251,7905230.65253617,5899043.04066085,4.09683244708163,2.36178191383475,9.13731788741659,39.2295775013624,1.0014,1.01084,0.962394,0.996639,812.845,875.926,802.668,849.262,1,628.834132779907,1.00094884965035,835.372388111888,0.5
