,marketPriceEth,marketPriceUsd,debtAvailableToSettle,erc20CoinTotalSupply,globalDebt,globalDebtCeiling,systemSurplus,totalActiveSafeCount,RedemptionRateAnnualizedRate,RedemptionRateHourlyRate,RedemptionRateEightHourlyRate,RedemptionPrice,RAIInUniswapV2(RAI/ETH),collateral,debt,ETH Price (OSM),block_number
308,6.608331414856457e-06,0.004322620513180109,0.0,-62198.745639525354,-62205.60942231119,0.0,-37.66593291013851,1.0,0.0,0.0,0.0,5.8090070152339024e-05,64121.29926619306,0.0,0.0,-38.545188829999915,12259679
309,-2.5373356451726184e-08,-0.01299990692306574,0.0,14172.46278559789,12824.181253492832,0.0,-116.93094869080232,2.0,0.0,0.0,0.0,0.0,-120195.53905418515,0.0,0.0,21.42665984999985,12259427
310,0.0,0.0,0.0,2607.338112283498,2598.436433762312,0.0,0.0,1.0,0.0,0.0,0.0,2.92961267387426e-05,-59131.94066989049,0.0,0.0,-14.739193429999887,12259126
311,0.0,0.0,0.0,3507.0832061059773,3495.109719771892,0.0,0.0,1.0,-0.047753126060231965,-6.092071247687514e-06,-4.873223676327143e-05,4.7154064532595186e-05,120285.80111783743,6.0,1498.4902115853038,33.70356946999982,12258850
312,1.3618440689646197e-05,0.007132085657425513,0.0,-324129.9744779952,-323112.87449653447,0.0,-57.7331793885096,2.0,0.0,0.0,0.0,4.679167721199917e-05,214152.74443973973,0.0,0.0,32.15174685000011,12258598
313,0.0,0.0,0.0,-800.0,-798.8044712357223,0.0,-75.54452037415467,0.0,0.0,0.0,0.0,4.0686138242485015e-05,-796.1481840126216,0.0,0.0,-2.8990715899999486,12258355
314,-1.833513516679309e-05,0.041033665177611756,0.0,30857.63691359386,30752.53645194322,0.0,0.0,4.0,0.0,0.0,0.0,5.403362299150061e-05,231916.0254500322,0.0,0.0,2.1914776799999345,12258134
315,-2.6730063488626665e-05,-0.06544022318743581,0.0,-33947.76179687679,-34027.18122799322,0.0,-16.653118929534685,3.0,-0.03557191031529339,-4.759153368505409e-06,-3.806839595665856e-05,5.810259344229962e-05,1393563.841700513,9.510000000000218,1508.271657550009,8.816503900000043,12257801
316,0.0,0.0,0.0,-32077.71250455454,-32411.26960010454,0.0,-31.48533696992672,3.0,0.0,0.0,0.0,6.32724864439993e-05,18471.6891756244,0.0,0.0,12.133496099999775,12257524
317,-5.35404173929643e-07,0.009610049252054331,0.0,-9101.234632585198,-8949.943324960768,0.0,-43.474351576849585,1.0,0.0,0.0,0.0,6.152191556729747e-05,868282.9552507102,0.0,0.0,32.54777664000039,12257245
318,3.1854579856933733e-07,0.015780730863011794,0.0,-10000.0,-10783.784340213984,0.0,-69.2766965321207,0.0,0.0,0.0,0.0,5.217953759961702e-05,10014.968394901603,0.0,0.0,-3.1288352000001396,12256989
319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026080364513351162,3.508562206322452e-06,2.806481328354593e-05,0.0001131878800344488,25227.683578390628,0.0,0.0,9.049122850000003,12256755
320,-3.506556177764993e-06,0.027746217957667074,0.0,-200000.0,-199497.5733039491,0.0,-36.64670327687054,0.0,0.0,0.0,0.0,0.0,172412.64288365096,0.0,0.0,6.06422436999992,12256443
321,6.017198658347239e-08,0.0187909378770601,0.0,-877251.0,-877256.3790751472,0.0,-57.566685015073745,-1.0,0.0,0.0,0.0,4.909198071123555e-05,22029.49120874703,0.0,0.0,0.7242424500000197,12256188
322,0.0,0.0,0.0,10851.087340500206,10647.04665755108,0.0,-14.164588901679963,4.0,0.0,0.0,0.0,8.36205184508998e-05,32710.202560748905,37.0,7997.0434545842,10.399884580000162,12255935
323,5.426762042842672e-07,0.0022397123792012863,0.0,-50000.0,-53290.56265053153,0.0,-36.44683888621512,0.0,0.0403950030905863,5.229995791000697e-06,4.1835753817554e-05,5.084586392190005e-05,-138.23295740410686,0.0,0.0,-3.36641568999994,12255628
324,1.2336065055964032e-08,0.012864837120797556,0.0,-1000000.0,-996899.067483861,0.0,-58.52102000574814,-1.0,0.0,0.0,0.0,0.0,-224.61666611209512,0.0,0.0,-3.6161273200000323,12255376
325,2.3521372104877165e-06,-0.002773436926874595,0.0,-50000.0,-48514.12095698342,0.0,-20.581180546840187,0.0,0.0,0.0,0.0,3.492622295198089e-05,-25899.404179744422,0.0,0.0,-9.91671752000002,12255098
326,7.1938727745730555e-06,0.005539492613248154,0.0,402304.3787984103,400884.59238443896,0.0,-27.57550893694861,2.0,0.0,0.0,0.0,3.7509419839487634e-05,362631.96356008947,0.0,0.0,-15.571761100000458,12254872
327,1.0398780133334673e-07,-0.015484702377311255,0.0,-997.0178803689778,-1103.6241334974766,0.0,-48.240580274694366,1.0,0.06506359036761411,7.950464978478955e-06,6.360025006102443e-05,2.840887170041384e-05,11229.386123348027,0.0,0.0,-22.728725030000078,12254573
328,0.0,0.0,0.0,-71666.60000000149,-71686.58801164106,0.0,-16.74875083277584,-1.0,0.0,0.0,0.0,1.148846672949233e-05,15451.305992946029,0.0,0.0,12.386948690000281,12254288
329,-1.3171762750442857e-06,-0.03510205977163139,0.0,24931.040821388364,24801.663728367537,0.0,-34.32541688752826,1.0,0.0,0.0,0.0,2.299625503665581e-05,1840.7152047902346,0.0,-3049.671101467684,10.488641360000202,12254026
330,1.1286222398247496e-05,0.05617375927720447,0.0,-246808.0,-246794.64220282435,0.0,-60.45490901058656,-1.0,0.0,0.0,0.0,0.0,-850328.6077531762,0.0,0.0,-34.46430168999996,12253761
331,-1.5283229179360869e-06,-0.036392418598136356,0.0,20821.32479986921,20796.79159449786,0.0,-114.61491881633992,2.0,-0.03670395444499441,-4.416792092620803e-06,-3.5332846139879415e-05,3.62614669739969e-05,11370.070974513888,0.0,0.0,-0.13752209999984188,12253484
332,0.0,0.0,0.0,71522.96594407782,71282.47493780032,0.0,0.0,1.0,0.0,0.0,0.0,0.0,65889.02295405418,0.0,0.0,7.624345619999531,12253200
333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4923452187852746e-05,774266.260023769,0.0,0.0,1.13069102999998,12252937
334,0.0,0.0,0.0,10822.05806780979,10785.66964906454,0.0,0.0,2.0,0.0,0.0,0.0,2.4523553539435028e-05,12421.195679783821,0.0,0.0,-14.937458609999794,12252662
335,-5.55051591099448e-06,-0.029015421319100287,0.0,238980.7519682385,238692.4465127252,0.0,-94.81658218285884,1.0,0.0,0.0,0.0,2.5172203714340924e-05,161390.9335763827,0.0,0.0,-60.47801333000007,12252385
336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05439484352337909,-6.8769206421626095e-06,-5.5010869750571345e-05,4.140052265633187e-05,102318.86172224581,0.0,0.0,0.0,12252068
337,1.904165491270005e-05,-0.013773236015249157,0.0,-30000.0,-29560.034233376384,0.0,-60.723918277944904,0.0,0.0,0.0,0.0,4.554875297912986e-05,-2193.783087503165,0.0,0.0,34.129999999999654,12251807
338,-3.4907201042363133e-06,0.01222759380229288,0.0,122246.37835693732,121836.55763691664,0.0,0.0,3.0,0.0,0.0,0.0,9.145404825261494e-05,38985.00258835405,0.0,0.0,-20.779999999999745,12251532
339,1.00054813554453e-05,0.0269863515378983,0.0,17677.563033048064,19939.454931907356,0.0,-117.93361716187792,2.0,0.0,0.0,0.0,0.0,-92148.87451357394,0.0,0.0,32.340000000000146,12251273
340,0.0,0.0,0.0,744116.459975414,741627.4962000959,0.0,0.0,3.0,-0.06528720163214352,-8.84133714496027e-06,-7.072102684746451e-05,6.282609810703832e-05,999351.503042601,2452.0,740020.8144297422,5.226527119999901,12251016
341,0.0,0.0,0.0,26045.296890240163,25958.179074730724,0.0,0.0,0.0,0.0,0.0,0.0,7.196193823810759e-05,88905.92572276294,0.0,0.0,21.270200540000133,12250747
342,0.0,0.0,0.0,-7182.418289359659,-8085.706168055534,0.0,-5.4828050911892205,2.0,0.0,0.0,0.0,7.260583731083514e-05,74413.11304201931,0.0,0.0,0.0,12250444
343,-1.8867243552469527e-05,-0.005868337522068057,0.0,-282000.0,-281181.3167777732,0.0,-34.653126154240454,-2.0,0.0,0.0,0.0,6.034565087853494e-05,-429201.9518625587,0.0,0.0,-15.048301089999768,12250155
344,7.282649546137311e-06,0.02613317610274768,0.0,946070.1476200372,945979.9749936722,0.0,-37.7546724883141,2.0,-0.05370292224052042,-7.823638387804976e-06,-6.257689976585379e-05,9.358982263441007e-05,854924.4722210616,0.0,0.0,19.43101770999965,12249925
345,-1.0473099963335345e-05,-0.044261053161048114,0.0,-10687.540495939553,-11394.834332942963,0.0,-43.12497305800207,2.0,0.0,0.0,0.0,9.694077574540216e-05,6072.592539489269,0.0,0.0,32.377165409999634,12249625
346,2.556899874898034e-06,0.03051528678504889,0.0,151891.65720192716,152994.19343606383,0.0,-89.69536950456677,2.0,0.0,0.0,0.0,0.0001922932846349923,-355147.28204150125,0.0,0.0,40.499378490000254,12249392
347,-2.1450918709501818e-05,-0.026951017085182105,0.0,223605.3265971355,222860.32628067583,0.0,0.0,2.0,0.0,0.0,0.0,0.0,281776.21544610336,0.0,0.0,8.676254120000067,12249147
348,0.0,0.0,0.0,132984.0319626704,133101.15969048068,0.0,-15.566900040692417,3.0,-0.01978275814931174,-3.0227368010837807e-06,-2.4176260153718765e-05,9.877780617140175e-05,152170.5701441504,5.0,799.7180084560532,9.482722440000089,12248917
349,-1.2125757036738185e-05,0.04463515890551761,0.0,472101.2891916856,471815.96390086785,0.0,-96.04280302519328,7.0,0.0,0.0,0.0,9.94689171154306e-05,466625.7131595984,0.0,0.0,-8.692149980000067,12248674
350,0.0,0.0,0.0,411020.9847129546,409654.30321966484,0.0,0.0,3.0,0.0,0.0,0.0,0.00011064151685369339,1088572.6817790754,1.0,0.0,0.0,12248386
351,3.1509602625408653e-06,0.008893686372484666,0.0,-457620.97925268114,-456268.0482281968,0.0,-27.14988935313886,2.0,0.0,0.0,0.0,0.00010504612295214599,-231991.08188048378,0.0,0.0,15.895390589999806,12248118
352,0.0,0.0,0.0,-419335.85523507744,-419684.9036421366,0.0,-25.9087857841223,1.0,-0.04572484671639587,-7.308963597685292e-06,-5.845597124742863e-05,0.00010707224822237293,-421562.0257150829,0.0,0.0,-35.954455389999566,12247848
