__timestamp,Locked Amount,Accumulated Lock,Accumulated Free,DAI price in ETH,Daily Change in DAI Supply,Minted DAI,Burnt DAI,Total Supply,debt_payment,usd_fee_paid,mkr_burned
2018-06-14,225725.17650099538,331681.825125669,105956.64862467359,0.002076199910365365,354624.813045357,78363122.37002377,36014747.63701151,42348374.73301226,11832.493954642889,3.363218416295014,0.005553585179314
2018-06-15,226289.45022098807,332247.31735060236,105957.86712961424,0.0019107768854547066,204287.46,78568025.52002378,36015363.32701151,42552662.19301227,604.69,0.055203639164583006,8.946968152133601e-05
2018-06-16,226445.16294915872,332918.2830617766,106473.12011261794,0.0020211790535311323,37367.326432225615,78709524.94002378,36119495.42057928,42590029.519444495,104132.09356777438,1.17985949244021,0.0020665249258
2018-06-17,226303.7306368373,333061.35298488924,106757.6223480519,0.0019851063827096053,-41294.1540837683,78724480.74002378,36175745.374663055,42548735.36536072,56249.95408376831,21.91143316999281,0.040123578901799004
2018-06-18,226727.63364905497,333697.98069578764,106970.34704673264,0.002010720663980144,46786.53856048831,78815116.40002377,36219594.49610256,42595521.90392121,43849.121439511684,8.82229646237138,0.016467662964876003
2018-06-19,227371.7144544666,334649.03880720143,107277.32435273484,0.0019092231496637524,239006.92132195053,79108889.51531547,36274360.69007231,42834528.82524317,54766.19396974216,55.18170834829378,0.09766240720611401
2018-06-20,228987.44050170426,336298.7485080806,107311.30800637636,0.00186673117309928,127661.22086673415,79406204.50113024,36444014.45502033,42962190.04610991,168380.7749480265,233.80812779549908,0.410539216913174
2018-06-21,229721.40306095785,337240.7234146609,107519.32035370305,0.001853617832075611,151879.94872317568,79591559.31113024,36477489.31629716,43114069.99483308,31300.521276824275,1.50876336429255,0.002650146319671
2018-06-22,231214.86239876164,338971.7591746297,107756.89677586812,0.0018861298664879188,62147.551530341276,79770815.11868659,36594597.57232316,43176217.54636343,91816.35742717909,59.9566502750484,0.115129110832833
2018-06-23,230882.1743116028,339570.6659227431,108688.49161114033,0.0021647965489331295,-169568.1640824948,79843134.78868659,36836485.40640565,43006649.38228094,240661.80524249483,156.98106413786664,0.30577770912447
2018-06-24,247727.7708063309,357177.5102208132,109449.7394144822,0.002081795271113711,790528.0496214612,81131362.08868659,37334184.65678419,43797177.43190239,388701.27148090233,532.7594138997232,1.057349519069457
2018-06-25,248049.0724429752,357663.5868850214,109614.51444204623,0.002166948113279377,25468.112340731557,81193898.25333358,37371252.709090464,43822645.54424312,37066.89230626843,18.569935506511463,0.036309662969421
2018-06-26,249264.43005116648,359568.57412252884,110304.14407136227,0.0021507097564683786,-71422.07252548935,81291861.73333359,37540638.26161595,43751223.47171763,169385.55252548942,30.560196564767562,0.05819999369748301
2018-06-27,252639.6034504437,363277.50121981604,110637.89776937227,0.0022914206476656,63807.00510990623,81461722.56106709,37646692.08423957,43815030.47682754,105443.68449815796,62.75014675669756,0.12764816742832702
2018-06-28,263394.7335814404,374701.79072911036,111307.05714766996,0.002266744457415913,1519590.5026263809,83194683.37606709,37860062.39661318,45334620.97945392,197391.9054690806,123.15451818768241,0.250900555965535
2018-06-29,322599.6343346059,434807.4810146316,112207.84668002576,0.002346902760027753,4665303.911428766,89070044.22407757,39070119.33319488,49999924.89088269,1167974.2851521857,335.4022688616522,0.6883039343438041
2018-06-30,323854.9964344868,436124.89145735436,112269.89502286764,0.002254871803869989,168628.3690981991,89246269.68057756,39077716.42059667,50168553.25998089,7597.087401800967,6.055611908536966,0.012070346701838002
2018-07-01,324022.11840454384,436535.07637082133,112512.95796627746,0.0022168340972648546,185821.11599999995,89443208.79657756,39088834.42059667,50354374.37598088,10300.0,4.667297611041871,0.008642587949449
2018-07-02,325833.8251465895,438402.3754722224,112568.55032563284,0.0021798341419612963,504032.2318134681,89960052.85657756,39101646.24878321,50858406.60779435,12811.828186531904,7.102535680942836,0.013198871997481001
2018-07-03,327225.6015059214,439968.8663175179,112743.2648115965,0.002079914960147317,176819.91187945966,90240813.83457756,39205587.31490375,51035226.51967381,99418.25102600001,82.53446508864879,0.14155703267087702
2018-07-04,327478.4787297694,440232.3209382854,112753.84220851595,0.0021244840462404024,380322.44139808073,90624478.21457756,39208929.25350567,51415548.96107189,3144.559601919299,3.257658951431655,0.005920728167891001
2018-07-05,328354.2076282103,441118.7902860333,112764.58265782303,0.0020923108708025924,125633.46479551493,90750640.61457756,39209458.18871015,51541182.42586741,528.9352044850907,0.698587782279944,0.001235397757429
2018-07-06,327475.1242361401,441310.0955002482,113834.9712641081,0.0021379685550706852,-23802.80851204425,90797829.61457756,39280449.99722221,51517379.61735536,70991.80851204427,8.901787292129514,0.016105593511234
2018-07-07,328423.500434492,442260.6394919705,113837.13905747847,0.002113432416475391,190411.58672780485,90989230.36457756,39281439.1604944,51707791.20408317,989.1632721951173,0.43948149918796203,0.0008098198395660001
