date,DAI Supply,Max DAI Supply,ETH Freed from CDPs that are still open,ETH Freed from completely closed CDPs,Locks volume ETH,"Stability Fee Paid, ETH",closed CDPs,1 - 7 days WIPES,30 - 365 days WIPES,7 - 30 days WIPES,less than 1 day WIPES,more than 365 days WIPES,"Locked in CDPs, ETH"
2018-01-20,9598512.71443806,50000000,0,16.8639049376716,164.157375190018,0,1,0.926716387271881,0,8.22743320465088,0,0,35793.3291849712
2018-01-21,9997697.74142853,50000000,0,30,765.233535496847,0,0,14.4345998764038,0,0,0,0,36528.5388595368
2018-01-22,9679245.36256942,50000000,0,1026.579,1130.96052577451,0,1,0.494618624448776,613.49365234375,14.0669536590576,0.200815171003342,0,36626.9846605524
2018-01-23,9796292.81262078,50000000,0,2.78092333872585,680.882942333008,0,3,0.251280248165131,18.9967861175537,0.120614521205425,4.59649133682251,0,37292.0835061121
2018-01-24,9853603.54747743,50000000,0,80.292,290.874439048898,0,0,0.391446799039841,0,0,59.7105560302734,0,37467.7905044523
2018-01-25,9358657.54717495,50000000,0.025,603.95669039034,56.6874818856104,0,3,0,476.2939453125,25.7198619842529,0.63442325592041,0,36890.7195025206
2018-01-26,9399585.33399478,50000000,0.01,23.5,86.6752113582235,0,3,13.0744848251343,24.1900310516357,7.85352611541748,0.047895941883326,0,36952.2181445645
2018-01-27,9409361.36490386,50000000,0,56.4542657391122,58.9773800142912,0,2,21.70530128479,0,0,0.905777096748352,0,36953.8072703096
2018-01-28,9444999.25490386,50000000,29,14.5744814678663,106.124958270723,0,2,6.46699905395508,25.494083404541,4.24901390075684,0,0,36959.8237532602
2018-01-29,9972694.73518093,50000000,0,7.40438696511374,803.385350919674,0,5,0.83065402507782,0,2.90223479270935,3.99940967559814,0,37714.1104065117
2018-01-30,10126531.7052503,50000000,18.4,86.85671065,575.060375666249,0,2,0,4.13144969940186,56.1879730224609,19.0829467773438,10.9931621551514,38178.0028016025
2018-01-31,10359633.4032503,50000000,0.31,672.9721884796,573.036196297281,0,3,0.000925541389734,0,10.0884008407593,8.24083232879639,0,38076.1944091704
2018-02-01,10505693.4032503,50000000,0,2.25,549.354546335039,0,1,0.644624292850494,0,1.28924858570099,0.736713528633118,0,38622.3072095926
2018-02-02,10397159.9204574,50000000,36.8594152237198,74.9871501873009,2086.21136794581,0,10,32.2874603271484,357.907897949219,6.59864044189453,18.3349876403809,0.021941252052784,40391.537787748
2018-02-03,10760724.6276522,50000000,17.3,10.2910595609704,781.419971381833,0,4,51.1391448974609,6.90212345123291,0.000519073742907,0,0,41110.6124062219
2018-02-04,11079832.7958522,50000000,0.5,65,1858.18229420563,0,1,11.6531000137329,29.1327495574951,40.7412796020508,1.86449599266052,0,42883.2399433605
2018-02-05,10786601.1220555,50000000,5.07,685.92673919479,7233.87134926044,0,5,26.8541831970215,998.970092773438,81.8032989501953,10.1091470718384,40.1446266174316,49143.739814521
2018-02-06,10544698.6882468,50000000,118.2832318767,1286.20774954836,4762.87141384773,0,9,3.73680400848389,1051.03796386719,53.6418685913086,165.824722290039,0,52345.6702954573
2018-02-07,11161793.8953115,50000000,6.0041,93.7150361975381,747.586083747456,0,6,41.9423599243164,88.9543075561523,0,63.3422088623047,0,52804.5122642704
2018-02-08,11256138.2658898,50000000,0,14.8337397438886,252.663938481451,0,2,0.308887600898743,5.83018064498901,0.475295394659042,1.26157176494598,0,53042.140390032
2018-02-09,13869675.9995896,50000000,2.2,683,7918.51050163332,0,2,68.7226104736328,0,1.18939542770386,1.31785023212433,0,60269.4326645885
2018-02-10,14074005.4910668,50000000,0.998250498881514,537.812325275746,1495.42450162703,0,7,70.4993362426758,4.15880918502808,138.33039855957,0.119186796247959,0,61193.8665898533
2018-02-11,14332368.2200356,50000000,0,58.6544642155166,839.992737019409,0,5,36.8793487548828,3.03194618225098,1.2628310918808,7.88305997848511,0,61969.5575881047
2018-02-12,14525370.1148671,50000000,0.3993,4.66,768.078366364943,0,5,0.915220975875854,0.239998906850815,0.847808241844177,3.22386574745178,0.058443229645491,62719.7052838887
2018-02-13,14724652.4273925,50000000,0,5,1196.52681338597,0,4,0,0.45365434885025,102.070602416992,0,1.18498313426971,63903.0573585412
2018-02-14,15190155.5751265,50000000,0.15,82.829364315,1609.72849775123,0,3,61.344367980957,18.9170207977295,11.4015102386475,0.057007551193237,0,65429.6610611014
2018-02-15,17388212.44921,50000000,0,86.6463228201707,6350.67893206276,0,4,0.834236323833466,0,0,0.005365554708987,21.4622192382812,71668.5848988673
2018-02-16,17420766.7329586,50000000,0,101.25,318.721663465377,0,1,0,6.7643895149231,149.808212280273,0,0,71884.9387249925
2018-02-17,17459481.9775906,50000000,0.499,903.912523566062,222.3768545667,0,5,0.104796923696995,0.254389733076096,43.009162902832,1.04796922206879,0,71201.3134221348
2018-02-18,17667303.9990114,50000000,0,342.31,549.929124458321,0,3,2.81674814224243,0.51843136548996,2.12756395339966,0.034039251506329,0,71376.3766910259
2018-02-19,17685139.4546114,50000000,33.88,307.993856683468,264.344419247416,0,5,1.77575159072876,0,43.3332710266113,1.61431968212128,0,71196.1433288236
2018-02-20,17749587.5704095,50000000,13.3,30.898,178.309115766874,0,1,0,0.463528215885162,13.6074333190918,0.005390751641244,0,71301.0793803538
2018-02-21,17979766.0932205,50000000,0,500.566454932856,773.288892196302,0,1,0.868292927742004,0.624214589595795,1.22895002365112,0.04783983156085,0,71571.2337870521
2018-02-22,17631330.1504501,50000000,8,516.984392691689,483.90576744468,0,3,8.43832874298096,480.128936767578,44.2796821594238,0,0,71523.3600656941
2018-02-23,18432025.4871183,50000000,0,9.39071305683293,704.578038384695,0,2,0.042072664946318,1.01596820354462,3.37857961654663,0,0,72208.3461940196
2018-02-24,18482474.476434,50000000,0.246125157032015,1.10437975106612,695.753462116098,0,1,0.058973040431738,0,0.078712128102779,0.141535297036171,0,72902.488674538
2018-02-25,19045184.2625494,50000000,0,35.059,1840.39973180191,0,3,3.60360741615295,0.784789204597473,45.4742240905762,0.020420441403985,0,74693.9459151164
2018-02-26,19522925.6280468,50000000,0,138.377591901162,3444.15044947058,0,2,2.33005714416504,11.6502857208252,11.4436511993408,0,40.1795043945313,77945.4322668791
2018-02-27,19893767.5505245,50000000,4.65,19.7926608198737,479.172501352631,0,2,5.51286602020264,0,0.08890537917614,0,0,78389.1360898467
2018-02-28,20208211.560224,50000000,0,1.05,1121.14676916743,0,2,0.11557899415493,6.57976245880127,11.5578994750977,0.716589748859406,0,79508.7501311858
2018-03-01,20467235.9821903,50000000,0,511,54.0628448341085,0,4,0,6.27245330810547,0.461406737565994,7.72856283187866,0,79029.7037361525
2018-03-02,20798374.1565069,50000000,75,1.01709389523089,1158.15095207899,0,2,0,15.991265296936,6.17633628845215,23.1632308959961,0,79936.8248845584
2018-03-03,20894463.3369217,50000000,0,0,0,0,3,0,0,0,1.2754133939743,0,80020.0673039068
2018-03-04,21096194.3369217,50000000,0,10.6987541536933,306.884690051319,0,5,0.251308560371399,6.24180316925049,1.16887700557709,1.16887700557709,0,80316.2341650584
2018-03-05,20576554.3859217,50000000,0,1100,450.609101414825,0,1,57.8705291748047,694.446350097656,2.80444884300232,1.44676327705383,0,79664.6616906892
2018-03-06,20602730.3274655,50000000,43,501.3,1277.89729268536,0,3,0.009686334058642,365.467712402344,37.3806419372559,0,0,80344.8136444861
2018-03-07,20314712.8309966,50000000,0,605.630202064613,2920.9060312993,0,1,0,858.98681640625,39.2607154846191,0,0,82562.9202224276
2018-03-08,20334081.2717157,50000000,99,2459.26057393768,1414.26133398849,0,8,10.2230997085571,26.0501899719238,340.917663574219,15.6290578842163,79.9245300292969,81283.005943454
2018-03-09,21132344.5506861,50000000,0,3440.25260699216,3675.86576199493,0,2,0,4.21908187866211,42.7061462402344,6.21902513504028,7.36851358413696,81379.4547842028
2018-03-10,21229928.1047441,50000000,0.553,0.295397325935154,345.235038545934,0,2,0,14.1727247238159,0,0,0,81723.8336689991
2018-03-11,21436155.733406,50000000,0,1.9,1159.56452837914,0,2,7.95329141616821,1.97638690471649,0,0.073152676224709,0,82881.4942223446
2018-03-12,21638654.737044,50000000,0.007,99.9004100396322,621.022935369566,0,4,26.1266117095947,15.6677265167236,0.645614504814148,0,0,83399.9246640532
