__timestamp,Locked Amount,Accumulated Lock,Accumulated Free
2019-05-29,1640162.9225069555,4250273.128637485,2610110.2061305298
2019-06-14,1639526.0600467543,4335793.592858857,2696267.532812102
2019-06-13,1639233.4663558635,4333676.972013725,2694443.5056578615
2018-12-16,1638745.9745029826,2499224.2206819523,860478.2461789699
2018-12-17,1638701.7613725998,2503387.9962311834,864686.2348585835
2018-12-15,1637749.6617617896,2495936.648500448,858186.9867386584
2019-06-03,1636913.6917455564,4285848.550564716,2648934.858819159
2019-05-30,1636675.7024194263,4265296.702173182,2628620.9997537555
2018-12-14,1636423.1360045448,2493431.95962359,857008.8236190453
2019-06-17,1636197.7115557487,4351091.929776912,2714894.218221163
2019-06-15,1635073.0809662198,4338473.495134289,2703400.4141680696
2018-12-12,1634874.2909924062,2461112.4382971423,826238.1473047361
2018-12-13,1634733.280146019,2486103.000793648,851369.7206476289
2019-06-18,1633620.9525925694,4356866.964856116,2723246.0122635467
2019-06-19,1632873.019285569,4358459.0054107625,2725585.9861251935
2018-12-11,1630847.9085260006,2454258.193362099,823410.2848360987
2019-06-20,1626784.5680480078,4361407.291571306,2734622.7235232983
2019-06-21,1625796.6730142343,4365182.771512454,2739386.09849822
2018-12-10,1623511.4580328744,2446370.918103514,822859.4600706393
2019-06-22,1623280.6852088124,4372570.632447171,2749289.9472383587
2018-12-09,1617465.6451637675,2439950.3775087744,822484.7323450069
2019-12-01,1616642.3434224268,7107464.096061917,5490821.75263949
2019-06-23,1603520.3459231579,4377782.93192987,2774262.5860067117
2019-06-24,1596516.4612212647,4385218.600527461,2788702.139306196
2018-12-08,1593311.7398842138,2411283.728838967,817971.9889547534
2018-12-07,1580263.9247575884,2396190.3793635387,815926.4546059503
2019-07-18,1575183.8831554241,4810035.580657063,3234851.697501639
2019-07-17,1574641.8296131347,4806605.747471141,3231963.917858006
2019-10-10,1573068.9278351623,5473247.360046817,3900178.4322116547
2019-10-09,1567460.887759632,5467008.043465244,3899547.1557056117
