__timestamp,Minted DAI,Burnt DAI,Total Supply
2020-01-21,503680687.0995599,475391301.50781316,28289385.591746747
2020-01-20,503665372.7090982,475319622.14035946,28345750.56873876
2020-01-19,502929374.1156718,473638018.3141894,29291355.80148244
2020-01-18,502867635.7868656,473493778.46626055,29373857.32060504
2020-01-17,502813358.12956285,468258059.0138508,34555299.11571205
2020-01-16,502733741.16335946,468173769.4614118,34559971.70194769
2020-01-15,502128985.54137415,467096808.2374963,35032177.30387783
2020-01-14,502018103.6255189,466982750.46160173,35035353.163917184
2020-01-13,501828249.6830481,466636214.45952255,35192035.223525584
2020-01-12,501816249.2955491,466590252.7958269,35225996.49972218
2020-01-11,501295199.4186326,466543274.78781354,34751924.63081908
2020-01-10,501254689.6993861,466536731.89774734,34717957.80163878
2020-01-09,501243311.7459163,466508637.12836134,34734674.61755496
2020-01-08,500919902.9826027,465789698.92973757,35130204.05286515
2020-01-07,498494653.3945974,461514998.92538077,36979654.469216645
2020-01-06,497469880.0455074,460523641.97363347,36946238.0718739
2020-01-05,495925640.1595921,456941700.98319566,38983939.17639643
2020-01-04,495615405.5421678,456429636.69608164,39185768.846086144
2020-01-03,495566183.0451728,456377584.07154846,39188598.97362435
2020-01-02,495005666.51692533,455760942.84417516,39244723.672750175
2020-01-01,494990042.5715506,455595345.00064874,39394697.57090187
2019-12-31,494746133.6879267,454349930.92818314,40396202.75974357
2019-12-30,494532772.0883698,453848955.3075486,40683816.780821204
2019-12-29,494272611.0713438,453589494.99921316,40683116.07213062
2019-12-28,494197379.9057915,453443299.69970334,40754080.206088185
2019-12-27,493159712.2461326,451933498.438517,41226213.80761564
2019-12-26,492959918.8714376,451308482.30381364,41651436.56762397
2019-12-25,492746604.4735533,450747623.14734536,41998981.326207936
2019-12-24,492736643.14406365,450303155.735281,42433487.40878266
2019-12-23,492557072.86202735,449474485.79898566,43082587.06304169
2019-12-22,492415351.42623276,449163477.52713823,43251873.89909452
2019-12-21,492406027.99781185,448798494.4448507,43607533.55296117
2019-12-20,492392745.0717765,447853447.50433457,44539297.56744194
2019-12-19,492371322.9143155,447141081.84079254,45230241.073522985
2019-12-18,490438363.54575795,444529670.3666486,45908693.179109335
2019-12-17,490123638.6266417,443294925.4886197,46828713.138022006
2019-12-16,488255826.5979623,438775639.5642884,49480187.03367394
2019-12-15,487860743.45319456,437366803.4115451,50493940.04164946
2019-12-14,487748212.7231499,437235024.3853564,50513188.33779347
2019-12-13,486825158.098077,435451910.1786737,51373247.919403315
2019-12-12,486792079.2710566,434972772.1533254,51819307.11773121
2019-12-11,486743419.8319619,434011808.9569688,52731610.874993145
2019-12-10,486699226.43586934,432079223.8569259,54620002.57894343
2019-12-09,486643607.62267894,430859230.4771456,55784377.14553332
2019-12-08,486587841.19799507,429389763.3644373,57198077.833557785
2019-12-07,486290957.2855182,427756170.38391185,58534786.90160638
2019-12-06,484022153.95162046,426327322.49680465,57694831.454815805
2019-12-05,482999963.90087485,424219613.1731928,58780350.727682054
2019-12-04,482474359.42375284,422671441.82042795,59802917.60332489
2019-12-03,482040044.2382295,421615384.41465837,60424659.823571146
2019-12-02,481081805.73787683,413819688.67890066,67262117.05897617
2019-12-01,478687510.35686666,395969567.4179533,82717942.93891335
2019-11-30,478433095.8272698,393997248.24260783,84435847.58466196
2019-11-29,477767483.18703943,393674615.1278754,84092868.05916405
2019-11-28,477668109.7499088,393265849.668683,84402260.08122581
2019-11-27,476129945.43858963,391875881.93722534,84254063.50136429
2019-11-26,475917978.0812378,391351180.8957357,84566797.18550211
2019-11-25,475557228.6875458,390828718.3388373,84728510.34870845
2019-11-24,472323297.73916,386517518.05393255,85805779.68522745
2019-11-23,472067433.531309,385991569.2447152,86075864.2865938
2019-11-22,471154764.99955255,383062938.4585348,88091826.54101777
2019-11-21,469720076.90568525,377568235.12569594,92151841.7799893
2019-11-20,467984392.1081196,371998187.3774245,95986204.73069513
2019-11-19,467019956.30113506,369098647.9924641,97921308.30867094
2019-11-18,464834654.81222504,364645742.55090964,100188912.2613154
