date,rho_star,beta,p,Q,v_1,v_2 + v_3,u_1,u_2 + u_3,u_2,w_2,u_3,w_3,w_2 + w_3,D_1,D_2,w_1,D,C_star,p_star,p_ema_10
2018-12-26,131.07195852115498,0.005,0.996144750651312,1827227.8244197643,15938.004738757852,1948.5545864965534,1049111.3776984513,206509.1263679862,206508.11603943713,67.1548468246699,1.010328549076803,0.0003285510528936625,67.15517537572279,67406750.31894502,280160.8527334539,924.90221276911,67686911.17167847,239498329.61104763,1,1.006939332492301
2018-12-27,124.889260610767,0.005,1.01166056805826,1833171.2940064631,9070.593922775704,3127.124336077017,581144.092290014,1024455.6805356443,957740.9850633412,1131.209331851505,66714.69547230308,78.79822130083471,1210.0075531523398,66963438.73069939,279869.701442449,918.856262147431,67243308.43214184,228943407.48135015,1,1.0051561331907475
2018-12-28,123.43984709933201,0.005,1.00743949926742,1840891.4688584132,13445.44817519607,5725.273323246045,942204.521337539,319304.3919211435,319304.3919211435,616.6338601812012,0.0,0.0,616.6338601812012,67586338.86011578,280180.4315412364,927.3639589685971,67866519.29165702,227239361.44234723,1,1.0047994494541774
2018-12-29,138.023534165147,0.005,1.00895804912718,1864093.6268537173,26277.777496460825,3075.619501156267,1672189.9075950086,332552.89503613114,332552.8950361175,371.3981486557098,1.3620592653751373e-08,1.5211603840187336e-11,371.39814865572504,68925975.87267466,280754.70718894526,945.6737963645512,69206730.57986361,257288790.39307684,1,1.0031700933297547
2018-12-30,138.166355055639,0.005,1.0043514821714201,1865642.9411692775,8026.79032828426,6477.476012723986,575437.5149900019,447401.93978188117,447401.93978188117,173.3290525094174,0.0,0.0,173.3290525094174,69054011.44788279,281528.80933376594,947.4311973300678,69335540.25721656,257769085.01664102,1,1.0021978117676429
2018-12-31,136.405382749316,0.005,0.994589667603869,1867487.9954757583,6229.699840106536,4384.645533625269,772633.3689979911,256564.58957883716,229766.5895788352,175.63391579721434,26798.00000000195,20.48443023923284,196.11834603644718,69570080.22730194,282287.1846314665,954.4936437370621,69852367.4119334,254735414.80262372,1,0.9988644426910687
2019-01-01,135.858136493138,0.005,1.01298100095307,1867539.4840309129,2350.972586269956,2299.4840311156586,1026347.0384961069,977977.8239316096,977977.8239316096,483.11745377114664,0.0,0.0,483.11745377114664,69618449.44186644,282759.23212983756,955.1649521421556,69901208.67399628,253720434.1277963,1,0.9995254289957508
2019-01-02,148.02590496688,0.005,0.9994493013262349,1867278.4991147537,7492.775356959086,7753.760273118853,1407205.3390251696,583244.518307507,583244.5183074942,179.69344484455252,1.280568540096283e-08,3.945339649264284e-12,179.69344484455647,70442410.2625841,283545.9691747978,966.4304898048227,70725956.2317589,276405589.6566589,1,1.002800648824352
2019-01-03,151.3369882799,0.005,1.01300564653076,1865472.1647010627,4324.1766205932945,6130.511034284136,410776.0509983301,597502.9107610583,597502.9107610555,321.02914858265166,2.7939677238464355e-09,1.5011560000793422e-12,321.02914858265314,70255683.40282138,284188.8297203576,963.8896941424534,70539872.23254174,282314939.1258444,1,1.004949447750636
2019-01-04,152.090229930768,0.005,1.00547596231447,1854293.519346291,12577.857131035067,23756.502485807054,514081.7308499217,1353903.4653391242,1353902.8653391316,2450.4501634336866,0.5999999926425517,0.0010859494559551522,2450.4512493831426,69415861.66833217,282690.80112932227,952.4226583477944,69698552.4694615,282019927.7165104,1,1.0050814151453427
