date,p,p_star,p_hat,e_hat,e_star,cumsum_e_hat,cumsum_e_star,delta_e_hat,delta_e_star,y
2018-09-02,0.996699943458643,1,1.0023264336585995,0.005626490199956535,0.0033000565413570104,0.053332145727744695,-0.7873646993268306,-0.0003387485029981985,-0.00029205422428102423,1.00278221360063
2018-09-03,1.00278221360063,1,1.0027081370353697,-7.407656526026152e-05,-0.0027822136006299125,0.053258069162484434,-0.7901469129274605,-0.005700566765216797,-0.006082270141986923,1.0020025588554
2018-09-04,1.0020025588554,1,1.003966975212097,0.001964416356696974,-0.002002558855400016,0.05522248551918141,-0.7921494717828605,0.0020384929219572356,0.0007796547452298963,1.0281354048944398
2018-09-05,1.0281354048944398,1,1.0029404950141907,-0.025194909880249083,-0.028135404894439775,0.030027575638932325,-0.8202848766773003,-0.027159326236946058,-0.02613284603903976,1.03020595058341
2018-09-06,1.03020595058341,1,1.004595272541046,-0.025610678042363944,-0.030205950583410024,0.004416897596568381,-0.8504908272607103,-0.0004157681621148601,-0.002070545688970249,1.01262067748238
2018-09-07,1.01262067748238,1,1.0064387845993041,-0.006181892883075912,-0.01262067748238005,-0.0017649952865075313,-0.8631115047430904,0.01942878515928803,0.017585273101029975,1.01521161935915
2018-09-08,1.01521161935915,1,1.0075543093681332,-0.007657309991016881,-0.015211619359150053,-0.009422305277524412,-0.8783231241022404,-0.0014754171079409684,-0.002590941876770003,1.0141942405319
2018-09-09,1.0141942405319,1,1.0078074049949646,-0.00638683553693542,-0.014194240531899993,-0.015809140814459832,-0.8925173646341404,0.0012704744540814605,0.0010173788272500595,1.0039078233387
2018-09-10,1.0039078233387,1,1.0086018300056456,0.004694006666945638,-0.0039078233386999894,-0.011115134147514194,-0.8964251879728404,0.011080842203881058,0.010286417193200004,1.00838130875085
2018-09-11,1.00838130875085,1,1.009541387557983,0.0011600788071330914,-0.00838130875084997,-0.009955055340381103,-0.9048064967236904,-0.0035339278598125468,-0.00447348541214998,1.00997619932319
2018-09-12,1.00997619932319,1,1.009962406158447,-1.3793164743036712e-05,-0.009976199323189938,-0.00996884850512414,-0.9147826960468803,-0.0011738719718761281,-0.0015948905723399687,0.991262468593062
2018-09-13,0.991262468593062,1,1.0123194670677182,0.021056998474656252,0.008737531406938004,0.011088149969532113,-0.9060451646399423,0.02107079163939929,0.018713730730127942,0.996305622322704
2018-09-14,0.996305622322704,1,1.0120124840736386,0.01570686175093461,0.003694377677295968,0.02679501172046672,-0.9023507869626464,-0.0053501367237216435,-0.005043153729642036,0.9954540188516928
2018-09-15,0.9954540188516928,1,1.0098504590988158,0.014396440247122944,0.004545981148307177,0.041191451967589665,-0.8978048058143392,-0.0013104215038116651,0.0008516034710112086,0.997820537220712
2018-09-16,0.997820537220712,1,1.0066453075408934,0.008824770320181474,0.002179462779288044,0.05001622228777114,-0.8956253430350511,-0.005571669926941469,-0.0023665183690191327,1.00104059787026
2018-09-17,1.00104059787026,1,1.0051090884208678,0.004068490550607873,-0.0010405978702598961,0.05408471283837901,-0.896665940905311,-0.0047562797695736014,-0.00322006064954794,0.999465589364485
2018-09-18,0.999465589364485,1,1.0019578599929808,0.002492270628495774,0.0005344106355149592,0.056576983466874786,-0.8961315302697961,-0.0015762199221120987,0.0015750085057748553,1.00071665223192
2018-09-19,1.00071665223192,1,1.0014354348182675,0.0007187825863474995,-0.0007166522319199675,0.057295766053222286,-0.896848182501716,-0.0017734880421482746,-0.0012510628674349267,0.9980641175503708
2018-09-20,0.9980641175503708,1,1.000710446834564,0.002646329284193172,0.0019358824496291671,0.05994209533741546,-0.8949123000520869,0.0019275466978456723,0.0026525346815491346,0.989646685058867
2018-09-21,0.989646685058867,1,0.9981641328334806,0.008517447774613607,0.010353314941133007,0.06845954311202906,-0.8845589851109539,0.005871118490420435,0.00841743249150384,0.989579679722784
2018-09-22,0.989579679722784,1,0.9970974266529081,0.007517746930124081,0.010420320277215955,0.07597729004215314,-0.8741386648337379,-0.0009997008444895261,6.700533608294812e-05,1.00001940854021
2018-09-23,1.00001940854021,1,0.9973681807518004,-0.002651227788409649,-1.9408540210097414e-05,0.0733260622537435,-0.874158073373948,-0.01016897471853373,-0.010439728817426053,0.997584947416806
2018-09-24,0.997584947416806,1,0.9977819931507108,0.0001970457339047771,0.002415052583193966,0.07352310798764827,-0.871743020790754,0.002848273522314426,0.0024344611234040636,0.9971078928376949
2018-09-25,0.9971078928376949,1,0.9983131527900693,0.0012052599523744156,0.0028921071623051464,0.07472836794002269,-0.8688509136284489,0.0010082142184696385,0.0004770545791111802,0.996897906738114
2018-09-26,0.996897906738114,1,0.9979850912094113,0.0010871844712972978,0.003102093261886041,0.07581555241131999,-0.8657488203665629,-0.00011807548107711785,0.00020998609958089443,0.996022024641279
2018-09-27,0.996022024641279,1,0.9976041829586028,0.0015821583173237785,0.00397797535872102,0.07739771072864376,-0.8617708450078418,0.0004949738460264808,0.000875882096834979,1.0009840669833
2018-09-28,1.0009840669833,1,0.9970861494541166,-0.0038979175291833368,-0.0009840669832998916,0.07349979319946043,-0.8627549119911417,-0.005480075846507115,-0.0049620423420209114,1.00048247524067
